wp/wp002.htm	bpalj16	Mt._21_1	Ir kad priſsiartinaija meſtap atteija kiemap Beth=.
wp/wp002.htm	bpalk16	Lc._1_32	aukſʒcʒiauſaija ∻ Dewa ſunus
wp/wp002.htm	bpall16	Gn._3_15	Ataija ſekla maters (...)
wp/wp002.htm	bpall16	Gn._18_14/22_16-17	tikras ſʒmagus iſch gimines Abrahama
wp/wp002.htm	bpall16	Ps.(LXX)_109_4/131_11	Jr Dawida
wp/wp002.htm	bpalk16	Eph._1_23/4_10	Ghis ∻ Cħus Jeſus wiſsa wiſsoſa pripilda
wp/wp002.htm	bpalk16	Ier._23_24	kalba panas Diewas ſʒemẹ ir dangụ Er ne eſch pripildaw
wp/wp002.htm	bpalk16	Is._66_1	kalba, dangus mā kreſlas ira a ſʒeme ſolelis kaiụ manụ
wp/wp002.htm	bpalk16	Io._1_10-11/Col._1_16	Ant ſcha ſweta kurſai per ghị ir ſtaghis eſt, tikrami ∻ ſawami attaija, a ſaweiei ia neprijeme
wp/wp002.htm	bpalk16	Eph._4_9	Attaija ing ſʒemeſnes ſʒalis ſʒemes
wp/wp002.htm	bpalk16	1_Tim._3_16	Diewas paſsirades ira kune apteiſintas est dwaſai, regetas est nog angelụ, ſakitas angu ſkelptas nogintiketa ira ingi ghị nogi ſweta, ir atpentʒ imtas ira ingi garben.
wp/wp002.htm	bpalk16	1_Jo._3_8	Cħus paſsirade Jdantdarbus welina. (...) idant iſcharditụ adarbus welina. (...) Cħus Jeſus paſsirade Jdant pagadintụ darbus welina.
wp/wp002.htm	bpalk16	Gn._22_18	Jr ſeklai tawa (kas ira Cħus) bus perſʒegnatas wiſsas gimines ſʒemes
wp/wp002.htm	bpalk16	Is._53_4-6	Tikrai ſapulus muſụ ghis neſche, ir ſkaudulus muſụ kiele, ghistapa del grekụ muſụ, ir tutrintas
wp/wp002.htm	bpalk16	Mt._11_28	Eikite manẹſp wiſsi kurie ko apſunkinti eſte, a eſch doſupalengwinimụ.
wp/wp002.htm	bpalk16	Io._3_16/11_26	kurſai tiki
wp/wp002.htm	bpalk16	Io._17_19	Vſʒ ios pats ſchwencʒiu ſawe
wp/wp002.htm	bpalk16	Rm._4_25	Cħus numirrẹs ira del grekụ muſu, a keleſsi del apſiteiſinima muſụ.
wp/wp002.htm	bpalk16	2_Cor._5_21	Tạ kurſai nepaſʒimna greka, padare greku Jdant mes butumbim teiſibi Diewa ingi ghị.
wp/wp002.htm	bpalk16	Io._1_29	ſchiſkat awinas Diewa kurſai neſcha grekus ſweta.
wp/wp002.htm	bpall16	1_Jo._3_5	3 Jeſus Cħus cʒiſtija muſs nog wiſsụ grekụ
wp/wp002.htm	bpalk16	Gal._4_4-5	Jr kadaiſchpildimas cʒeſa atſunte Diewas ſunụ ſawu wengimuſị iſch matriſʒkies ſtaiuſị pa Ʒakanu, Jdant anos kure bua pa Ʒakanu iſchgielbetụ, Jdant priliginimụ ſunụ imtumbim.
wp/wp002.htm	bpalk16	Mt._28_20	Buſu ſu iumis net ikſweta,
wp/wp002.htm	bpalk16	Io._14_23	kurſai mil mane ſʒadị manạ ſaugaija, tụ ir tewas mana pamiles, ir iap attaiſime ir giwenimụ ſaw Jame padarriſime.
wp/wp002.htm	bpalj16	Mt._21_2	atriſʒkite ir atweſkite mạ,
wp/wp002.htm	bpalj16	Mt._21_3	weſʒpats ta priwala, (...) Toiau paleis angu perleis ios
wp/wp002.htm	bpalk16	Za._9_9	dʒiaukeſsi a linkſminkeſsi Sion.
wp/wp002.htm	bpalk16	Ps._2_12	a bucʒiokite ſunụ.
wp/wp002.htm	bpalj16	Mt._21_5	ſchiſkat (...)
wp/wp002.htm	bpalk16	Eph._2_19-20	Bralei Jau tadangi neeſte ſweteis ir atainais bet eſte meſchcʒianis ſchwentuiụ irDiewa ſubudawati antapłụ ir prarakụ.
wp/wp002.htm	bpali16	Mt._21_7	aſlicʒiụ turrime atweſti
wp/wp002.htm	bpali16	Mt._21_8	rubus ſawa tur iam klati ant kielia (...) ſʒakeles nog medʒiụ turrime kirſti a meſti Cħui ant kielia
wp/wp002.htm	bpall16	Lc._1_33	kura karaliſtaigala nera nei bus.
wp/wp002.htm	bpali16	Mt._21_9	ſʒaukti
